id,word2vec
143,"[0.09404996191353901,0.08482893530036444,0.09228664183098337,-0.059849534001525324,0.06292826840249093]"
144,"[0.06346871641774972,0.4074834265435735,0.18211764904359976,-0.09505278749080995,0.07582410983741283]"
145,"[0.1424975643718713,0.2505045911591304,0.1422687053288284,-0.05649976780343997,0.08776001632213593]"
146,"[0.10641202282514077,0.21245174950713083,0.12306296032060075,-0.003090337194778301,0.001690414492730741]"
147,"[0.16020619355142116,0.23136638276278973,0.19413016453385354,-0.0895510620623827,0.0759301346540451]"
148,"[0.023785837974987532,0.13059100302818574,0.13172634465521887,0.013956023527211264,-0.08378889048962217]"
149,"[0.09481640920857899,0.26634124473979076,0.1587752600821356,0.01412868086869518,-0.015330414931910733]"
150,"[0.05001911837607623,0.23871198035776617,0.1470838576555252,-0.04848228832706809,0.10631742849946023]"
151,"[0.0959368333486574,0.25637353477733477,0.1155718591596399,0.007806005022887672,-0.02894903563096055]"
152,"[0.09439164761673001,0.28770556185832796,0.1704932012978722,-0.12364063050378771,0.08472438792095464]"
153,"[0.14147810248986764,0.19730369724771554,0.05671956570928587,-0.0680406391620636,0.029327382826629805]"
154,"[0.10640348594946165,0.3067194314466582,0.17521602381020784,-0.16411288760395512,0.09193184268143441]"
155,"[-0.08237948015864406,0.1272960350449596,0.15037524979561567,-0.12533525517210364,0.09348527435213327]"
156,"[0.30037891024646035,0.21514158882200718,0.07970456158121426,-0.15034793658802906,0.2226955306250602]"
157,"[0.25678175687789917,0.20719211243770339,0.047431751916354355,-0.17839761264622211,0.18202613073993815]"
158,"[0.14863185971402207,0.25876871009285635,0.16283578103264937,-0.21624082928666702,0.05405166172064268]"
159,"[0.23212336003780365,0.2741417992860079,-0.028268830291926863,-0.08753755372017623,0.19060050100088122]"
160,"[0.36081629585136066,0.3867167654362592,0.04037266360087828,-0.11424905637448485,0.27170938456600363]"
161,"[0.20360221298919484,0.24980279117483986,-0.02878390218723904,-0.03306895104998892,0.094835065305233]"
162,"[0.24546465921131047,0.29184386041015387,-0.0270644747228785,-0.14821758036586372,0.16596368268470874]"
163,"[0.22687694955278528,0.16335104981606657,0.03826407334682617,-0.05704821824011478,0.19609224068170245]"
164,"[0.23903579409751627,0.26507838551575935,0.0013460687154697047,-0.09789979483725296,0.07050679872433344]"
165,"[0.19172860444946724,0.36903477065392176,0.1202823902818967,-0.05387090032242916,0.09915008582174778]"
166,"[0.03229465363547206,0.29579998813569547,0.15215686927549543,-0.06234021987766028,0.20465200524777175]"
167,"[0.26573023898527026,0.39321049840913874,0.16718139716734487,-0.1291881130180425,0.10130292425553003]"
168,"[0.06437419096685269,0.254223391329023,0.08453747528520497,0.047772676683962345,-0.04219825565814972]"
169,"[0.14739028076556596,0.4155956676060503,0.16221251160922376,-0.16963309612633154,0.046780477658930154]"
170,"[0.18772265940372432,0.2046938127771552,0.12504989999745572,-0.10473986236112458,0.13207700585813395]"
171,"[0.18397317904358107,0.1933194495504722,0.09685663242513934,-0.1715870639309287,0.13554281539594132]"
172,"[0.14790168641643092,0.3570452416315675,0.1470542395995422,-0.11901696051724933,0.10219728404825384]"
173,"[0.08014732396060771,0.3758152178065343,0.12912562032314864,0.09500732526860454,-0.012602623890746723]"
